//char	type	Width	Filename
詛	text	11	FontText_E8A99B.png
慟	text	11	FontText_E6859F.png
蝠	text	11	FontText_E89DA0.png
祠	text	11	FontText_E7A5A0.png
籠	text	11	FontText_E7B1A0.png
牠	text	11	FontText_E789A0.png
♡	text	8	FontText_E299A1.png
≤	text	5	FontText_E289A4.png
≥	text	5	FontText_E289A5.png
睨	text	11	FontText_E79DA8.png
蕩	text	11	FontText_E895A9.png
♪	text	9	FontText_E299AA.png
恫	text	11	FontText_E681AB.png
晰	text	11	FontText_E699B0.png
奸	text	11	FontText_E5A5B8.png
穹	text	11	FontText_E7A9B9.png
豹	text	11	FontText_E8B1B9.png
牽	text	11	FontText_E789BD.png
穿	text	11	FontText_E7A9BF.png
呿	text	11	FontText_E591BF.png
	text	1	FontText_7F.png
咀	text	11	FontText_E59280.png
邁	text	11	FontText_E98281.png
邂	text	11	FontText_E98282.png
躇	text	11	FontText_E8BA87.png
抉	text	11	FontText_E68A89.png
躊	text	11	FontText_E8BA8A.png
醒	text	11	FontText_E98692.png
薙	text	11	FontText_E89699.png
涛	text	11	FontText_E6B69B.png
羞	text	11	FontText_E7BE9E.png
媞	text	12	FontText_E5AA9E.png
掠	text	11	FontText_E68EA0.png
Τ	text	6	FontText_CEA4.png
馥	text	11	FontText_E9A6A5.png
Ω	text	9	FontText_CEA9.png
憫	text	11	FontText_E686AB.png
劫	text	11	FontText_E58AAB.png
憬	text	11	FontText_E686AC.png
徬	text	11	FontText_E5BEAC.png
鞭	text	11	FontText_E99EAD.png
厭	text	11	FontText_E58EAD.png
颯	text	11	FontText_E9A2AF.png
喰	text	11	FontText_E596B0.png
妳	text	11	FontText_E5A6B3.png
掴	text	11	FontText_E68EB4.png
悶	text	11	FontText_E682B6.png
皺	text	11	FontText_E79ABA.png
螺	text	11	FontText_E89EBA.png
掻	text	11	FontText_E68EBB.png
綻	text	11	FontText_E7B6BB.png
疼	text	11	FontText_E796BC.png
嚼	text	11	FontText_E59ABC.png
辿	text	11	FontText_E8BEBF.png
禿	text	11	FontText_E7A6BF.png
飄	text	11	FontText_E9A384.png
僅	text	11	FontText_E58385.png
珈	text	11	FontText_E78F88.png
菈	text	11	FontText_E88F88.png
藉	text	11	FontText_E89789.png
軋	text	11	FontText_E8BB8B.png
○	text	11	FontText_E2978B.png
棍	text	11	FontText_E6A38D.png
滓	text	11	FontText_E6BB93.png
鏖	text	11	FontText_E98F96.png
×	text	6	FontText_C397.png
棘	text	11	FontText_E6A398.png
緘	text	11	FontText_E7B798.png
曠	text	11	FontText_E69BA0.png
叡	text	11	FontText_E58FA1.png
狡	text	11	FontText_E78BA1.png
痣	text	11	FontText_E797A3.png
懣	text	11	FontText_E687A3.png
賤	text	11	FontText_E8B3A4.png
臥	text	11	FontText_E887A5.png
æ	text	10	FontText_C3A6.png
燦	text	11	FontText_E787A6.png
痩	text	11	FontText_E797A9.png
跪	text	11	FontText_E8B7AA.png
藪	text	11	FontText_E897AA.png
凪	text	11	FontText_E587AA.png
淫	text	11	FontText_E6B7AB.png
諫	text	11	FontText_E8ABAB.png
髭	text	11	FontText_E9ABAD.png
僭	text	11	FontText_E583AD.png
哭	text	11	FontText_E593AD.png
◯	text	11	FontText_E297AF.png
ð	text	6	FontText_C3B0.png
曰	text	10	FontText_E69BB0.png
棲	text	11	FontText_E6A3B2.png
ø	text	6	FontText_C3B8.png
蟻	text	11	FontText_E89FBB.png
ý	text	5	FontText_C3BD.png
遜	item	12	FontItem_E9819C.png
鑽	item	12	FontItem_E991BD.png
櫂	item	12	FontItem_E6AB82.png
þ	item	7	FontItem_C3BE.png
遜	text	11	FontText_E9819C.png
鑽	text	11	FontText_E991BD.png
櫂	text	11	FontText_E6AB82.png
þ	text	6	FontText_C3BE.png
繫	item	12	FontItem_E7B9AB.png
繫	text	11	FontText_E7B9AB.png
▸	item	6	FontItem_E296B8.png
▹	item	6	FontItem_E296B9.png
▸	text	5	FontText_E296B8.png
▹	text	5	FontText_E296B9.png
