//char	type	Width	Filename
軍	item	8	FontItem_E8BB8D.png
騎	item	9	FontItem_E9A88E.png
山	item	8	FontItem_E5B1B1.png
然	item	9	FontItem_E784B6.png
由	item	8	FontItem_E794B1.png
抗	item	9	FontItem_E68A97.png
⑲	item	8	FontItem_E291B2.png
ゴ	item	7	FontItem_E382B4.png
４	item	8	FontItem_EFBC94.png
全	item	8	FontItem_E585A8.png
亡	item	8	FontItem_E4BAA1.png
心	item	8	FontItem_E5BF83.png
鉄	item	8	FontItem_E98984.png
百	item	8	FontItem_E799BE.png
惨	item	9	FontItem_E683A8.png
担	item	8	FontItem_E68B85.png
牢	item	8	FontItem_E789A2.png
⑳	item	8	FontItem_E291B3.png
鬼	item	8	FontItem_E9ACBC.png
サ	item	8	FontItem_E382B5.png
５	item	8	FontItem_EFBC95.png
狼	item	9	FontItem_E78BBC.png
控	item	8	FontItem_E68EA7.png
探	item	9	FontItem_E68EA2.png
典	item	9	FontItem_E585B8.png
Ⅰ	item	6	FontItem_E285A0.png
週	item	9	FontItem_E980B1.png
傍	item	9	FontItem_E5828D.png
ザ	item	8	FontItem_E382B6.png
６	item	8	FontItem_EFBC96.png
攻	item	8	FontItem_E694BB.png
散	item	8	FontItem_E695A3.png
誘	item	8	FontItem_E8AA98.png
涯	item	8	FontItem_E6B6AF.png
Ⅱ	item	7	FontItem_E285A1.png
シ	item	7	FontItem_E382B7.png
７	item	8	FontItem_EFBC97.png
老	item	8	FontItem_E88081.png
天	item	8	FontItem_E5A4A9.png
新	item	8	FontItem_E696B0.png
遊	item	9	FontItem_E9818A.png
儀	item	8	FontItem_E58480.png
Ⅲ	item	8	FontItem_E285A2.png
酬	item	9	FontItem_E985AC.png
ジ	item	7	FontItem_E382B8.png
８	item	8	FontItem_EFBC98.png
集	item	8	FontItem_E99B86.png
標	item	9	FontItem_E6A899.png
係	item	8	FontItem_E4BF82.png
展	item	8	FontItem_E5B195.png
Ⅳ	item	9	FontItem_E285A3.png
ス	item	8	FontItem_E382B9.png
９	item	8	FontItem_EFBC99.png
店	item	8	FontItem_E5BA97.png
々	item	7	FontItem_E38085.png
街	item	9	FontItem_E8A197.png
氷	item	8	FontItem_E6B0B7.png
森	item	9	FontItem_E6A3AE.png
更	item	8	FontItem_E69BB4.png
Ⅴ	item	9	FontItem_E285A4.png
ズ	item	8	FontItem_E382BA.png
雄	item	9	FontItem_E99B84.png
産	item	8	FontItem_E794A3.png
刑	item	9	FontItem_E58891.png
忘	item	8	FontItem_E5BF98.png
郎	item	8	FontItem_E9838E.png
セ	item	8	FontItem_E382BB.png
技	item	8	FontItem_E68A80.png
兄	item	8	FontItem_E58584.png
短	item	8	FontItem_E79FAD.png
住	item	8	FontItem_E4BD8F.png
校	item	9	FontItem_E6A0A1.png
六	item	8	FontItem_E585AD.png
忙	item	9	FontItem_E5BF99.png
ゼ	item	8	FontItem_E382BC.png
ー	item	8	FontItem_E383BC.png
深	item	8	FontItem_E6B7B1.png
端	item	9	FontItem_E7ABAF.png
ソ	item	7	FontItem_E382BD.png
表	item	8	FontItem_E8A1A8.png
